security_name,fecha_inicio,fecha_fin,total_registros,promedio,maximo,minimo,nulos,ultima_actualizacion_dato
MXN.TIIE-1D,2025-01-02,2026-04-16,322,8.0821,10.05,6.74,0,2026-04-17 09:34:58.290472
MXN.TPFB,2025-01-02,2026-04-16,322,8.0981,10.08,6.76,0,2026-04-17 09:34:58.871921
UDIMXN.SPOT,2025-01-01,2026-04-17,472,8.5472,8.824841,8.343113,0,2026-04-17 09:34:51.403085
USDMXN.FIX,2025-01-02,2026-04-16,322,18.8342,20.8518,17.1392,0,2026-04-17 09:34:57.972367
